Umpire,Nationality
Asad Rauf,Pakistan
Billy Doctrove,West Indies
Rudi Koertzen,South Africa
Aleem Dar,Pakistan
Russell Tiffin,Zimbabwe
Daryl Harper,Australia
Amiesh Saheba,India
Krishna Hariharan,India
Brian Jerling,South Africa
Ian Howell,South Africa
Suresh Shastri,India
Mark Benson,England
Steve Davis,Australia
Arani Jayaprakash,India
G. A. Pratapkumar,India
Ivaturi Shivram,India
Sundaram Ravi,India
Kumar Dharmasena,Sri Lanka
Marais Erasmus,South Africa
Simon Taufel,Australia
Billy Bowden,New Zealand
Sudhir Asnani,India
Shavir Tarapore,India
Sanjay Hazare,India
Gary Baxter,New Zealand
Tyron Wijewardene,Sri Lanka
Shashank Ranade,India
Subrat Das,India
Rod Tucker,Australia
Paul Reiffel,Australia
Tony Hill,New Zealand
Anil Chaudhary,India
Chettithody Shamshuddin,India
Vineet Kulkarni,India
Bruce Oxenford,Australia
Johan Cloete,South Africa
C. K. Nandan,India
Nigel Llong,England
Krishnaraj Srinath,India
Subroto Das,India
Richard Illingworth,England
Rajesh Deshpande,India
Pashchim Pathak,India
Chris Gaffaney,New Zealand
Simon Fry,Australia
Krishnamachari Srinivasan,India
Nitin Menon,India
Nand Kishore,India
K. N. Ananthapadmanabhan,India
Anil Dandekar,India
Virender Sharma,India
Krishnamachari Bharatan,India
Abhijit Deshmukh,India
Yeshwant Barde,India